team,player,matches_played,avg_runs,recent_runs,total_runs,total_balls,avg_wickets,recent_wickets,total_runs_conceded,total_balls_bowled,win_rate,last_match_date,strike_rate,economy,batting_form,bowling_form,impact_score
Kolkata Knight Riders,Andre Russell,31,28.523225806451613,31.369999999999997,884.22,668.92,1.7370967741935484,1.77,1047.13,760.98,0.5483870967741935,2021-02-04,132.18621060814448,8.256169675944179,27.46279537453729,44.89628903815877,34.43619283998588
Kolkata Knight Riders,Sunil Narine,31,33.91258064516129,38.666,1051.29,801.67,1.2848387096774192,0.9520000000000002,1055.11,708.1,0.5483870967741935,2021-02-04,131.13750046777352,8.940347408558113,33.07929294939556,27.128387096774198,30.698930608347013
Kolkata Knight Riders,Rinku Singh,31,26.22483870967742,32.826,812.97,607.51,1.1751612903225805,1.108,933.86,769.0699999999999,0.5483870967741935,2021-02-04,133.8200194235486,7.285630696815636,27.594501855697587,33.22909011596326,29.848337159803854
Kolkata Knight Riders,Shreyas Iyer,31,29.455161290322582,24.633999999999997,913.11,771.14,1.0935483870967742,0.836,1086.17,779.15,0.5483870967741935,2021-02-04,118.41040537386208,8.36426875441186,23.86537845427005,24.018408853320302,23.926590613890152
Kolkata Knight Riders,Venkatesh Iyer,31,21.42258064516129,5.632,664.1,518.42,1.300967741935484,0.748,1064.32,752.64,0.5483870967741935,2021-02-04,128.10076771729487,8.48469387755102,11.125633790014572,24.290901909150758,16.391741037669046
Kolkata Knight Riders,Phil Salt,31,26.9,15.508000000000001,833.9,591.21,0.0,0.0,0.0,0.0,0.5483870967741935,2021-02-04,141.0497116083963,8.2,18.362521395104952,1.2000000000000028,11.497512837062972
Lucknow Super Giants,KL Rahul,31,27.074193548387097,53.278,839.3,698.29,1.5770967741935484,1.3139999999999998,979.82,756.4,0.4838709677419355,2021-02-05,120.19361583296337,7.772236911686939,38.92757826242817,38.392020095187725,38.71335499553199
Lucknow Super Giants,Quinton de Kock,31,32.405806451612904,27.704,1004.58,796.13,1.2919354838709676,1.5379999999999998,1019.63,726.6,0.4838709677419355,2021-02-05,126.18290982628466,8.419735755573905,26.53622830831243,36.31041181641405,30.44590171155308
Lucknow Super Giants,Nicholas Pooran,31,26.059032258064512,20.003999999999998,807.8299999999999,656.08,1.1258064516129032,1.1720000000000002,1032.79,719.31,0.4838709677419355,2021-02-05,123.12980124375075,8.614839220920048,20.35903219296624,28.838064516129034,23.750645122231354
Lucknow Super Giants,Krunal Pandya,31,27.836129032258064,48.70399999999999,862.92,642.61,0.0,0.0,0.0,0.0,0.4838709677419355,2021-02-05,134.2836245934548,8.2,36.8165840170956,1.2000000000000028,22.56995041025736
Lucknow Super Giants,Marcus Stoinis,31,25.44645161290323,10.436,788.84,612.89,1.4170967741935483,1.1280000000000001,1079.33,741.1,0.4838709677419355,2021-02-05,128.7082510727863,8.738334907569827,14.9825886222808,31.090967741935486,21.425940270142675
Lucknow Super Giants,Deepak Hooda,31,27.69193548387097,7.638,858.45,667.27,1.4493548387096775,0.504,899.93,775.18,0.4838709677419355,2021-02-05,128.65107078094326,6.965582187362935,14.116619029923083,28.191219637645034,19.746459273011865
Mumbai Indians,Hardik Pandya,18,26.85111111111111,41.826,483.32,381.22,1.0683333333333334,1.8239999999999998,650.84,437.07,0.4444444444444444,2021-01-28,126.78243533917421,8.934587137071865,32.644413775073005,38.04333333333334,34.803981598377135
Mumbai Indians,Rohit Sharma,18,37.08555555555555,48.038000000000004,667.54,519.13,1.2594444444444446,0.8399999999999999,625.73,433.68,0.4444444444444444,2021-01-28,128.58821489800243,8.657028223574986,39.1539193528917,25.194444444444443,33.57012938951279
Mumbai Indians,Suryakumar Yadav,18,35.23,16.844,634.14,456.36,1.4872222222222222,1.398,672.51,411.75,0.4444444444444444,2021-01-28,138.9560872995004,9.799781420765028,21.57015109124375,35.84222222222222,27.27897954363514
Mumbai Indians,Ishan Kishan,18,24.832222222222224,30.159999999999997,446.98,370.26,1.041111111111111,1.282,641.59,401.05,0.4444444444444444,2021-01-28,120.72057473126993,9.59865353447201,25.54667385080754,29.641111111111112,27.18444875492897
Mumbai Indians,Tilak Varma,18,31.633333333333333,30.498,569.4,414.27,1.218888888888889,0.748,640.61,415.44,0.4444444444444444,2021-01-28,137.44659280179593,9.252021952628539,27.98198241002245,23.40888888888889,26.152745001569023
Mumbai Indians,Tim David,18,23.405555555555555,16.232,421.3,315.86,0.0,0.0,0.0,0.0,0.4444444444444444,2021-01-28,133.3818780472361,8.2,17.61654014225712,1.2000000000000028,11.049924085354272
Punjab Kings,Sam Curran,25,25.947200000000002,36.18,648.6800000000001,488.28,1.51,0.9919999999999998,855.15,590.04,0.4,2021-02-04,132.8500040960105,8.695851128737036,29.343785051200133,29.979999999999997,29.598271030720078
Punjab Kings,Jonny Bairstow,25,29.648400000000002,27.018,741.21,522.42,1.5663999999999998,1.016,912.99,538.96,0.4,2021-02-04,141.88009647410132,10.163908267774975,25.52792120592627,30.903999999999996,27.67835272355576
Punjab Kings,Shikhar Dhawan,25,19.145599999999998,16.77,478.64,347.01,1.3120000000000003,1.3800000000000001,806.85,587.4,0.4,2021-02-04,137.93262442004553,8.241573033707866,16.69133780525057,34.853707865168545,23.956285829217762
Punjab Kings,Liam Livingstone,25,27.4504,25.945999999999998,686.26,544.73,0.8772,0.7899999999999999,809.34,564.0,0.4,2021-02-04,125.98167899693426,8.610000000000001,24.08019098746168,20.622,22.696914592477007
Punjab Kings,Shashank Singh,25,38.7156,35.474000000000004,967.89,712.36,0.0,0.0,0.0,0.0,0.4,2021-02-04,135.8709079678814,8.2,32.82376634959852,1.2000000000000028,20.174259809759114
Punjab Kings,Jitesh Sharma,25,25.0248,18.78,625.62,559.33,1.1452,0.51,955.74,602.01,0.4,2021-02-04,111.85167968819837,9.525489609807147,19.234585996102478,19.102,19.18155159766149
Rajasthan Royals,Jos Buttler,29,28.491724137931033,60.029999999999994,826.26,612.96,0.8910344827586207,0.9339999999999999,1046.43,722.8,0.5517241379310345,2021-01-27,134.79835552075176,8.686469286109576,43.24899668538871,22.920344827586206,35.11753594226771
Rajasthan Royals,Riyan Parag,29,34.15551724137931,17.208000000000002,990.51,786.69,1.2348275862068967,1.7100000000000002,1033.26,727.65,0.5517241379310345,2021-01-27,125.90855355985202,8.519975262832407,21.284912091911945,37.998275862068965,27.970257599974754
Rajasthan Royals,Shimron Hetmyer,29,23.225172413793103,26.412,673.53,521.23,1.3520689655172413,1.1099999999999999,939.88,643.8,0.5517241379310345,2021-01-27,129.2193465456708,8.759366262814538,23.109393555958818,30.17068965517241,25.933911995644255
Rajasthan Royals,Sanju Samson,29,29.545517241379308,22.916000000000004,856.8199999999999,678.84,0.9568965517241379,0.8320000000000001,971.0600000000001,712.84,0.5517241379310345,2021-01-27,126.21825466973071,8.17344705684305,23.045183355785426,23.355177289869175,23.16918092941893
Rajasthan Royals,Yashasvi Jaiswal,29,30.359310344827584,29.832,880.42,659.9399999999999,0.8593103448275862,0.40199999999999997,932.37,658.09,0.5517241379310345,2021-01-27,133.4090977967694,8.500691394794025,27.183006825907892,14.623103448275861,22.15904547485508
Rajasthan Royals,Ravichandran Ashwin,29,23.947586206896553,17.389999999999997,694.48,539.3299999999999,0.0,0.0,0.0,0.0,0.5517241379310345,2021-01-27,128.76717408636645,8.2,18.358365538148544,1.2000000000000028,11.495019322889126
Royal Challengers Bengaluru,Rajat Patidar,38,27.571578947368423,31.886000000000003,1047.72,823.9,1.4663157894736842,2.4619999999999997,1240.53,871.79,0.4473684210526316,2021-02-05,127.16591819395558,8.537813005425619,27.398347661634972,51.593157894736834,37.07627175487572
Royal Challengers Bengaluru,Virat Kohli,38,29.643157894736845,34.626,1126.44,929.95,1.3107894736842105,0.962,1210.01,893.16,0.4473684210526316,2021-02-05,121.1290929619872,8.128510009404811,29.451361030445895,29.02385469922286,29.280358497956684
Royal Challengers Bengaluru,Faf du Plessis,38,24.994999999999997,28.338,949.81,790.99,1.4365789473684212,1.212,1236.07,935.7,0.4473684210526316,2021-02-05,120.07863563382595,7.926066046809874,24.585382945422825,34.841525286444714,28.68783988183158
Royal Challengers Bengaluru,Cameron Green,38,20.585526315789473,12.923999999999998,782.25,602.85,1.4242105263157894,2.16,1320.24,921.62,0.4473684210526316,2021-02-05,129.75864642946007,8.595125973828694,14.905840975105091,46.6421052631579,27.60034669032622
Royal Challengers Bengaluru,Glenn Maxwell,38,28.634473684210523,24.86,1088.11,882.04,1.1578947368421053,1.1179999999999999,1281.48,953.28,0.4473684210526316,2021-02-05,123.3628860369144,8.06570996978852,23.805378180724585,30.086107489266972,26.31766990414154
Royal Challengers Bengaluru,Dinesh Karthik,38,36.834736842105265,41.510000000000005,1399.72,1061.05,0.0,0.0,0.0,0.0,0.4473684210526316,2021-02-05,131.91838273408416,8.2,35.529900836807634,1.2000000000000028,21.79794050208458
Sunrisers Hyderabad,Travis Head,34,33.20676470588235,43.79600000000001,1129.03,844.58,1.0926470588235293,1.2719999999999998,1244.0,788.28,0.4411764705882353,2021-01-24,133.67946198110303,9.468716699649871,35.7208226865285,30.006470588235292,33.435081847211215
Sunrisers Hyderabad,Aiden Markram,34,26.106176470588235,30.95,887.61,751.77,1.236470588235294,1.176,1137.61,828.09,0.4411764705882353,2021-01-24,118.06935631908695,8.2426547839003,26.330219895165058,31.034086746751743,28.211766635799734
Sunrisers Hyderabad,Heinrich Klaasen,34,24.930882352941175,30.232,847.65,624.52,1.319705882352941,1.036,1108.8,795.71,0.4411764705882353,2021-01-24,135.728239287773,8.360834977567203,25.803467696979514,29.293718913260598,27.199568183491948
Sunrisers Hyderabad,Pat Cummins,34,31.314117647058826,27.8,1064.68,792.08,0.8364705882352942,0.554,1175.56,845.46,0.4411764705882353,2021-01-24,134.4157155842844,8.34263004754808,26.364431738921205,17.30418569216062,22.74033332021697
Sunrisers Hyderabad,Abhishek Sharma,34,22.074411764705882,18.804000000000002,750.53,623.12,1.1191176470588236,0.9659999999999999,1143.96,846.8199999999999,0.4411764705882353,2021-01-24,120.44710489151367,8.105335254245295,18.470112340555687,27.259835453607053,21.986001585776233
Sunrisers Hyderabad,Nitish Kumar Reddy,34,39.08588235294118,36.39999999999999,1328.92,975.37,0.0,0.0,0.0,0.0,0.4411764705882353,2021-01-24,136.2477828926459,8.2,33.44886199204043,1.2000000000000028,20.549317195224255
