player,team,sport,tournament,role,goals_last5,xg_per90,shot_conversion,def_actions,key_passes,impact_score,form_points_last5
Jude Bellingham,Real Madrid,football,UCL,standout,0,0.346,0.093,2.259,3.863,30.0,11.839
Federico Valverde,Real Madrid,football,UCL,standout,0,0.05,0.201,7.589,2.095,30.0,11.839
Aurelien Tchouameni,Real Madrid,football,UCL,standout,0,0.237,0.106,2.658,1.387,30.0,11.839
Antonio Rudiger,Real Madrid,football,UCL,defender,1,0.353,0.045,7.759,4.553,36.644,11.839
Dani Carvajal,Real Madrid,football,UCL,defender,1,0.233,0.113,7.607,0.769,30.0,11.839
Antoine Griezmann,Atletico Madrid,football,UCL,goal_scorer,2,0.495,0.282,2.686,4.168,51.011,8.271
Alvaro Morata,Atletico Madrid,football,UCL,goal_scorer,0,0.632,0.206,1.436,2.677,34.551,8.271
Angel Correa,Atletico Madrid,football,UCL,standout,2,0.235,0.035,2.968,1.598,30.0,8.271
Rodrigo De Paul,Atletico Madrid,football,UCL,standout,0,0.269,0.035,0.5,2.982,30.0,8.271
Koke,Atletico Madrid,football,UCL,standout,0,0.05,0.159,3.49,1.786,30.0,8.271
Jose Maria Gimenez,Atletico Madrid,football,UCL,defender,0,0.397,0.137,10.789,2.92,35.392,8.271
Jan Oblak,Atletico Madrid,football,UCL,defender,1,0.257,0.161,7.625,3.752,36.845,8.271
Harry Kane,Bayern Munich,football,UCL,goal_scorer,1,0.489,0.166,4.423,3.998,41.008,9.312
Jamal Musiala,Bayern Munich,football,UCL,goal_scorer,1,0.491,0.206,2.558,3.452,39.573,9.312
Leroy Sane,Bayern Munich,football,UCL,standout,0,0.164,0.081,0.5,1.536,30.0,9.312
Thomas Muller,Bayern Munich,football,UCL,standout,0,0.252,0.176,2.559,1.469,30.0,9.312
Joshua Kimmich,Bayern Munich,football,UCL,standout,0,0.427,0.071,1.361,3.059,30.0,9.312
Matthijs de Ligt,Bayern Munich,football,UCL,defender,0,0.371,0.119,7.763,1.465,30.0,9.312
Alphonso Davies,Bayern Munich,football,UCL,defender,0,0.251,0.059,3.686,3.186,30.0,9.312
